,power_SO,power_SO_relative,power_delta,power_delta_relative,power_sigma,power_sigma_relative,maxi,idx_maxi,mini,idx_mini,slope_positive,second_maxi,idx_second_maxi,slope_negative,num_of_zc_min_max,num_of_zc_max_min,kurtosis,skewness,KC
295,52.339,0.081,517.068,0.799,6.371,0.01,49.272,249,-26.599,192,1.331,13.607,170,-1.828,1,1,-0.41,0.155,no
296,541.69,0.426,331.555,0.261,7.713,0.006,-13.106,241,-87.062,180,1.212,-32.911,130,-1.083,0,0,-0.429,0.066,no
297,100.317,0.176,320.147,0.562,14.732,0.026,17.445,219,-60.644,191,2.789,24.955,160,-2.761,1,1,-0.716,-0.229,no
298,37.913,0.148,87.794,0.342,85.632,0.334,50.879,239,-21.394,161,0.927,3.768,126,-0.719,7,3,1.22,0.657,no
299,209.419,0.327,302.74,0.473,5.251,0.008,11.156,249,-29.161,199,0.806,19.008,171,-1.72,3,1,-0.616,-0.238,no
300,68.746,0.207,67.021,0.202,33.456,0.101,-25.62,249,-45.54,161,0.226,-30.523,141,-0.751,2,0,-0.664,0.72,no
301,1269.377,0.451,1018.521,0.362,14.961,0.005,-1.534,249,-100.241,185,1.542,17.019,135,-2.345,0,1,-0.425,-0.611,no
302,740.028,0.345,949.848,0.443,17.642,0.008,47.802,246,-92.124,180,2.12,34.206,134,-2.746,1,1,0.325,-1.051,no
303,629.379,0.366,752.926,0.438,14.46,0.008,46.002,248,-70.823,179,1.693,8.552,142,-2.145,1,1,-1.265,-0.007,no
304,195.933,0.283,157.429,0.227,9.029,0.013,-38.437,208,-53.618,195,1.168,-10.045,172,-1.894,0,0,-0.781,0.109,no
305,154.599,0.193,281.738,0.352,38.296,0.048,-0.576,220,-87.732,199,4.15,-27.251,156,-1.407,0,0,0.4,-0.43,no
306,12.272,0.039,145.672,0.462,23.66,0.075,1.258,207,-47.917,191,3.073,29.096,175,-4.813,0,1,0.506,0.282,no
307,363.186,0.232,540.411,0.345,45.465,0.029,-0.004,224,-90.609,170,1.678,50.223,148,-6.401,2,1,0.367,-0.825,no
308,330.291,0.262,429.745,0.341,46.065,0.037,10.633,241,-92.669,195,2.246,3.387,151,-2.183,1,1,-0.111,0.292,no
309,318.276,0.229,778.91,0.559,33.825,0.024,34.293,249,-74.067,196,2.045,52.73,147,-2.588,1,1,0.263,-0.728,no
310,274.448,0.175,910.278,0.581,34.885,0.022,48.223,237,-87.3,186,2.657,39.635,137,-2.591,1,1,0.4,-0.467,no
311,21.508,0.087,124.104,0.502,13.298,0.054,35.809,249,-36.691,189,1.208,17.909,139,-1.092,5,3,-0.433,0.135,no
312,47.768,0.14,132.081,0.386,69.05,0.202,11.833,240,-51.294,181,1.07,15.237,132,-1.358,3,3,0.111,-0.003,no
313,89.34,0.055,1374.387,0.846,17.691,0.011,64.993,247,-53.33,185,1.908,69.037,147,-3.22,1,1,-0.73,-0.202,no
314,956.472,0.384,902.33,0.362,19.43,0.008,-12.015,249,-129.1,183,1.774,1.865,133,-2.619,0,1,-0.576,-0.451,no
315,245.259,0.305,383.633,0.478,48.392,0.06,-0.496,249,-70.899,199,1.408,4.273,149,-1.503,0,1,0.369,-0.701,no
316,674.437,0.433,549.485,0.353,18.567,0.012,11.258,249,-55.016,166,0.798,49.697,120,-2.276,1,1,-1.376,-0.066,no
317,2.937,0.008,272.277,0.766,12.115,0.034,33.123,249,-6.423,198,0.775,38.211,161,-1.206,1,1,-0.552,0.269,no
318,188.918,0.272,418.727,0.602,10.293,0.015,20.289,249,-59.445,174,1.063,21.691,124,-1.623,3,3,1.72,-1.3,no
319,68.355,0.115,395.922,0.665,14.167,0.024,7.034,249,-60.889,194,1.235,41.476,149,-2.275,3,1,0.005,-0.512,no
320,43.796,0.109,174.778,0.435,41.313,0.103,18.666,217,-41.297,180,1.621,27.704,159,-3.286,1,1,-0.1,-0.171,no
321,60.217,0.215,128.481,0.459,46.929,0.168,15.813,240,-41.619,183,1.008,14.687,157,-2.166,3,1,-0.338,-0.033,no
322,111.36,0.187,304.523,0.512,18.221,0.031,43.935,220,-37.559,150,1.164,8.841,104,-1.009,3,1,-0.072,0.416,no
323,1.883,0.008,89.407,0.375,111.497,0.467,28.708,220,-46.466,197,3.268,28.367,171,-2.878,3,1,0.022,-0.01,no
324,368.26,0.415,209.32,0.236,25.899,0.029,-7.993,245,-61.341,174,0.751,7.203,138,-1.904,0,1,0.223,-0.36,no
325,24.22,0.096,150.383,0.596,19.293,0.077,13.33,245,-26.353,187,0.684,20.494,169,-2.603,1,1,0.1,0.487,no
326,20.249,0.074,202.229,0.742,11.823,0.043,6.345,248,-44.715,199,1.042,10.778,158,-1.353,3,1,-0.496,-0.291,no
327,138.885,0.277,268.182,0.535,29.256,0.058,26.594,246,-44.183,179,1.056,16.655,136,-1.415,3,1,-0.237,-0.207,no
328,143.309,0.232,356.413,0.576,19.921,0.032,17.106,237,-37.131,199,1.427,13.717,164,-1.453,1,1,0.65,-1.008,no
329,56.898,0.275,40.321,0.195,11.258,0.054,-4.138,242,-38.141,163,0.43,-10.528,113,-0.552,0,0,0.192,0.548,no
330,180.455,0.276,307.738,0.471,20.073,0.031,16.424,249,-58.065,181,1.095,6.554,135,-1.405,1,1,-0.144,-0.368,no
331,158.448,0.301,282.481,0.537,15.221,0.029,28.778,249,-41.658,166,0.849,25.474,135,-2.166,1,1,-0.712,-0.128,no
332,173.152,0.344,190.093,0.378,36.706,0.073,18.12,249,-48.519,191,1.149,20.672,141,-1.384,1,3,-0.292,-0.534,no
333,181.411,0.182,644.179,0.645,42.762,0.043,62.764,238,-47.087,176,1.772,35.952,141,-2.373,3,1,-0.545,0.07,no
334,220.475,0.166,801.346,0.603,42.391,0.032,-26.399,209,-58.366,185,1.332,0.771,135,-1.183,0,1,-0.313,-0.613,no
335,29.428,0.105,118.138,0.423,11.504,0.041,3.878,248,-39.776,199,0.891,14.42,167,-1.694,1,1,-0.119,-0.046,no
336,147.87,0.295,156.573,0.312,31.72,0.063,17.125,247,-61.255,194,1.479,-0.322,155,-1.562,3,0,-0.394,-0.108,no
337,233.042,0.357,303.045,0.465,22.79,0.035,6.35,224,-52.383,173,1.152,22.026,123,-1.488,1,1,-0.952,0.303,no
338,400.8,0.279,881.43,0.614,30.198,0.021,12.464,247,-70.919,193,1.544,15.965,147,-1.889,3,1,-0.403,-0.168,no
339,216.597,0.138,1209.231,0.77,52.074,0.033,49.041,249,-86.221,172,1.757,35.652,146,-4.687,1,1,-0.067,-0.542,no
340,302.211,0.225,812.963,0.606,22.257,0.017,31.124,248,-67.461,194,1.826,27.655,145,-1.941,1,1,0.221,-0.898,no
341,54.297,0.092,478.172,0.806,12.094,0.02,46.063,245,-47.35,179,1.415,27.085,139,-1.861,3,1,-0.384,-0.354,no
342,1459.987,0.397,404.103,0.11,43.973,0.012,-12.434,239,-116.067,199,2.591,-21.401,195,-23.667,0,0,-0.342,0.264,no
343,131.415,0.122,839.798,0.779,13.231,0.012,22.202,248,-89.552,185,1.774,43.392,145,-3.324,3,1,1.944,-1.146,no
344,326.353,0.39,304.117,0.364,24.389,0.029,11.698,248,-44.888,187,0.928,8.111,137,-1.06,1,3,0.073,-0.822,no
345,358.923,0.468,178.12,0.232,5.5,0.007,-5.39,249,-39.888,174,0.46,26.698,124,-1.332,0,1,-0.93,-0.429,no
346,1649.795,0.481,708.042,0.206,45.54,0.013,-46.465,248,-122.842,199,1.559,-9.002,150,-2.323,0,0,-0.794,-0.471,no
347,3901.399,0.483,2115.611,0.262,23.152,0.003,-7.387,249,-120.16,177,1.566,67.194,128,-3.824,0,1,-0.94,-0.543,no
348,307.267,0.354,208.476,0.24,38.276,0.044,5.776,249,-82.521,186,1.402,-4.479,158,-2.787,5,0,0.209,-0.379,no
349,88.761,0.241,153.062,0.416,24.608,0.067,23.03,220,-40.766,177,1.484,0.813,143,-1.223,1,3,-1.021,-0.16,no
350,83.465,0.246,64.219,0.189,76.0,0.224,10.225,224,-45.25,193,1.79,15.576,180,-4.679,1,1,0.956,-0.563,no
351,340.976,0.435,204.413,0.261,10.675,0.014,-21.113,213,-47.953,189,1.118,0.266,146,-1.121,0,1,-0.67,-0.409,no
352,49.868,0.197,124.534,0.491,17.656,0.07,22.494,228,-38.255,193,1.736,0.658,150,-0.905,1,1,-0.16,0.08,no
353,64.672,0.265,54.998,0.226,39.303,0.161,-0.726,239,-55.807,183,0.984,-1.879,133,-1.079,0,0,-0.201,-0.052,no
354,408.001,0.38,318.333,0.296,10.802,0.01,-13.113,249,-81.518,186,1.086,-12.373,151,-1.976,0,0,0.301,-0.789,no
355,191.054,0.336,312.675,0.551,10.818,0.019,10.659,246,-46.485,155,0.628,31.325,124,-2.51,3,1,-0.556,-0.194,no
356,174.096,0.348,86.928,0.174,7.892,0.016,-10.475,229,-57.191,176,0.881,-26.447,160,-1.922,0,0,-0.605,-0.176,no
357,450.595,0.372,323.443,0.267,42.194,0.035,-1.979,249,-50.274,150,0.488,15.193,100,-1.309,0,1,-0.537,-0.266,no
358,604.697,0.399,354.341,0.234,19.532,0.013,-12.849,248,-87.545,184,1.167,-9.772,134,-1.555,0,0,0.075,0.576,no
359,467.596,0.304,221.774,0.144,12.28,0.008,-55.45,217,-95.805,190,1.495,-33.323,169,-2.975,0,0,-1.005,-0.173,no
360,994.839,0.444,459.579,0.205,6.368,0.003,-34.101,249,-100.403,186,1.052,-25.231,145,-1.833,0,0,-0.409,-0.709,no
361,109.145,0.324,122.635,0.364,18.314,0.054,16.163,249,-38.303,199,1.089,-1.991,160,-0.931,3,0,0.825,0.238,no
362,178.57,0.203,606.883,0.691,8.052,0.009,44.969,249,-60.958,199,2.119,-34.88,150,-0.532,1,0,0.344,0.234,no
363,561.67,0.361,615.311,0.395,17.907,0.011,-2.074,249,-92.94,178,1.28,-11.062,143,-2.339,0,0,-0.04,-0.842,no
364,160.454,0.376,143.571,0.336,9.464,0.022,2.417,249,-33.265,179,0.51,6.782,149,-1.335,1,1,-0.382,-0.446,no
365,621.595,0.403,452.079,0.293,3.733,0.002,3.253,249,-82.384,188,1.404,-21.025,154,-1.805,0,0,-0.322,-0.854,no
